seed,topology,fault_type_macro_f1,line_accuracy,position_mae_expected_pct,security_macro_f1,instability_auroc
11,real,0.9477124183006536,0.671875,12.353289604187012,0.6810033294276001,0.9865916442871094
22,real,0.9419461242440902,0.6692708333333334,12.098891258239746,0.6768450937520706,0.98533935546875
33,real,0.9473453268977622,0.65625,12.296011924743652,0.6761617056016507,0.9868470764160155
44,real,0.9473453268977622,0.671875,12.814172744750977,0.6782383902204492,0.9847653198242188
55,real,0.9419461242440902,0.6666666666666666,12.305044174194336,0.6840215953477905,0.9854499816894532
11,shuffled,0.9479166666666667,0.6614583333333334,11.191434860229492,0.7113315912189976,0.9910263061523437
22,shuffled,0.9528744409294208,0.6901041666666666,11.610498428344727,0.6962905606193701,0.9879992675781251
33,shuffled,0.9477124183006536,0.6744791666666666,11.541277885437012,0.6870129074708866,0.9901609802246093
44,shuffled,0.9478260869565217,0.6822916666666666,11.315754890441895,0.6877359121019975,0.9899429321289062
55,shuffled,0.950454977590656,0.6588541666666666,12.195792198181152,0.6957102933981861,0.9854757690429687
