seed,fault_type_accuracy,fault_type_balanced_accuracy,fault_type_macro_f1,line_accuracy,line_balanced_accuracy,line_macro_f1,position_accuracy,position_balanced_accuracy,position_macro_f1,security_accuracy,security_balanced_accuracy,security_macro_f1,line_top3,line_corridor_accuracy,position_mae_expected_pct,position_mae_class_pct,position_rmse_expected_pct,position_within_5pct,position_within_10pct,security_ordinal_mae,instability_auroc,instability_f1,instability_precision,instability_recall,latency_ms_per_sample,parameters,model
11,0.9479166666666666,0.9479166666666667,0.9477124183006536,0.6588541666666666,0.6588541666666666,0.6566839444921364,0.7890625,0.7890625,0.7814135742330498,0.7453125,0.6961574902625538,0.6293660542150115,1.0,0.7213541666666666,12.880563735961914,11.222916603088379,21.300418853759766,0.6145833333333334,0.625,0.30833333333333335,0.9873565673828125,0.831390134529148,0.9757894736842105,0.72421875,0.00857669298663192,45980,cnn
11,0.9479166666666666,0.9479166666666666,0.9478260869565217,0.6614583333333334,0.6614583333333333,0.6451309041340951,0.8645833333333334,0.8645833333333334,0.8642851317184569,0.7828125,0.759834524280693,0.6922609553697857,1.0,0.7239583333333334,11.539814949035645,9.519791603088379,19.968433380126953,0.6484375,0.65625,0.2520833333333333,0.98541259765625,0.8692307692307693,0.9594339622641509,0.79453125,0.007745096096793229,43932,lstm
11,0.9479166666666666,0.9479166666666667,0.9477124183006536,0.671875,0.671875,0.6529641659561893,0.8541666666666666,0.8541666666666666,0.8505171838505171,0.7713541666666667,0.7491572031959649,0.6810033294276001,1.0,0.734375,12.353289604187012,10.252083778381348,20.92409324645996,0.625,0.6302083333333334,0.2609375,0.9865916442871094,0.8064814814814815,0.9897727272727272,0.68046875,0.08510262552287409,83676,stgat
22,0.9479166666666666,0.9479166666666667,0.9477124183006536,0.7083333333333334,0.7083333333333333,0.7011164779352332,0.8567708333333334,0.8567708333333334,0.8567161748917483,0.7388020833333333,0.7656262304767301,0.6683501194915716,1.0,0.7708333333333334,11.851449012756348,10.069010734558105,20.272289276123047,0.6458333333333334,0.6510416666666666,0.2833333333333333,0.9854278564453125,0.7924528301886793,1.0,0.65625,0.00844075548229739,45980,cnn
22,0.9479166666666666,0.9479166666666666,0.9473453268977622,0.6536458333333334,0.6536458333333333,0.6220803805175232,0.8463541666666666,0.8463541666666666,0.8463330637243681,0.7861979166666667,0.7397971603981925,0.6901856498341182,1.0,0.7161458333333334,11.976558685302734,10.801301956176758,20.474048614501953,0.6432291666666666,0.6458333333333334,0.2421875,0.9870697021484375,0.8680672268907563,0.9390909090909091,0.80703125,0.008176726313043522,43932,lstm
22,0.9427083333333334,0.9427083333333334,0.9419461242440902,0.6692708333333334,0.6692708333333333,0.6560823108172253,0.8385416666666666,0.8385416666666666,0.8358692341250481,0.75234375,0.748101371903945,0.6768450937520706,1.0,0.7317708333333334,12.098891258239746,11.111979484558105,21.335771560668945,0.6354166666666666,0.640625,0.2869791666666667,0.98533935546875,0.7953271028037383,0.9895348837209302,0.66484375,0.10147100676173673,83676,stgat
33,0.9479166666666666,0.9479166666666666,0.9478940512375162,0.6901041666666666,0.6901041666666666,0.6853683430413979,0.8541666666666666,0.8541666666666666,0.8540865139949109,0.8026041666666667,0.7396224293342185,0.7028095697999509,1.0,0.7526041666666666,12.066514015197754,10.252081871032715,20.439403533935547,0.625,0.6328125,0.23854166666666668,0.9875976562500001,0.8694915254237288,0.95,0.8015625,0.022166276539792307,45980,cnn
33,0.9479166666666666,0.9479166666666666,0.9473453268977622,0.6692708333333334,0.6692708333333333,0.63843108794403,0.84375,0.84375,0.8435972629521017,0.76796875,0.7222657708911107,0.6636117231116396,1.0,0.7317708333333334,12.520679473876953,10.984375,20.957721710205078,0.625,0.625,0.271875,0.9872039794921875,0.8620087336244542,0.9772277227722772,0.77109375,0.008066407250832222,43932,lstm
33,0.9479166666666666,0.9479166666666666,0.9473453268977622,0.65625,0.65625,0.6314036844642201,0.8489583333333334,0.8489583333333334,0.8483660130718954,0.7606770833333333,0.7507269555983926,0.6761617056016507,1.0,0.71875,12.296011924743652,10.618228912353516,20.79107093811035,0.6145833333333334,0.6484375,0.27395833333333336,0.9868470764160155,0.8,0.9885057471264368,0.671875,0.10384389195981689,83676,stgat
44,0.9427083333333334,0.9427083333333334,0.9425524970079425,0.6796875,0.6796875,0.6751201661287872,0.84375,0.84375,0.841795090311971,0.7890625,0.7592566961862895,0.7022778446390314,1.0,0.7421875,12.463228225708008,10.856770515441895,20.95363998413086,0.5989583333333334,0.6171875,0.25677083333333334,0.9864349365234375,0.8387387387387387,0.9904255319148936,0.72734375,0.008702115110281738,45980,cnn
44,0.9479166666666666,0.9479166666666666,0.9478940512375162,0.6536458333333334,0.6536458333333333,0.6420521975525724,0.8489583333333334,0.8489583333333334,0.8489583333333334,0.7848958333333333,0.7567542371238098,0.6953914616896466,1.0,0.7161458333333334,12.034058570861816,10.618228912353516,20.420366287231445,0.625,0.640625,0.24791666666666667,0.9867950439453125,0.8315315315315316,0.9819148936170212,0.72109375,0.007928244281174557,43932,lstm
44,0.9479166666666666,0.9479166666666666,0.9473453268977622,0.671875,0.671875,0.6636202903819699,0.8359375,0.8359375,0.8340919962349745,0.7559895833333333,0.7511037016194231,0.6782383902204492,1.0,0.734375,12.814172744750977,11.533594131469727,21.634618759155273,0.6119791666666666,0.6328125,0.2921875,0.9847653198242188,0.7849056603773585,0.9904761904761905,0.65,0.10239409842445941,83676,stgat
55,0.9505208333333334,0.9505208333333334,0.9500315042599239,0.703125,0.703125,0.6776629748808343,0.8515625,0.8515625,0.8503545771993785,0.7963541666666667,0.7370018406646015,0.6931737952381305,1.0,0.765625,11.954115867614746,10.435155868530273,20.39484214782715,0.6276041666666666,0.6328125,0.22760416666666666,0.9889404296875,0.8857142857142857,0.9581818181818181,0.8234375,0.015163259088997924,45980,cnn
55,0.9505208333333334,0.9505208333333334,0.950454977590656,0.6432291666666666,0.6432291666666667,0.6395444639696666,0.84375,0.84375,0.8437118437118437,0.7588541666666667,0.7612041550505314,0.6796482561611333,1.0,0.7057291666666666,12.183354377746582,10.984375,20.583654403686523,0.625,0.6276041666666666,0.26979166666666665,0.986114501953125,0.7896713615023474,0.9894117647058823,0.65703125,0.008013704700715607,43932,lstm
55,0.9427083333333334,0.9427083333333334,0.9419461242440902,0.6666666666666666,0.6666666666666666,0.6540804764181044,0.8411458333333334,0.8411458333333334,0.8405985719608234,0.7752604166666667,0.7462776865734275,0.6840215953477905,1.0,0.7291666666666666,12.305044174194336,11.167448043823242,20.98157501220703,0.6380208333333334,0.6380208333333334,0.2484375,0.9854499816894531,0.8295964125560538,0.9736842105263158,0.72265625,0.10051416014296895,83676,stgat
