metric,higher_is_better,real_mean,shuffled_mean,real_minus_shuffled,real_advantage,cohens_dz_real_advantage,paired_t_p,wilcoxon_stat,wilcoxon_p
fault_type_macro_f1,True,0.9452590641168716,0.9493569180887838,-0.004097853971912091,-0.004097853971912091,-0.7876329284010345,0.15300224474912427,0.0,0.0625
line_accuracy,True,0.6671875,0.6734374999999999,-0.006249999999999978,-0.006249999999999978,-0.42898200324189706,0.39176190830174135,3.5,0.375
position_mae_expected_pct,False,12.373481941223144,11.570951652526855,0.8025302886962891,-0.8025302886962891,-1.4682904693042473,0.030409200111806003,0.0,0.0625
security_macro_f1,True,0.6792540228699122,0.6956162529618876,-0.01636223009197537,-0.01636223009197537,-1.8772039921816122,0.013722771042935419,0.0,0.0625
instability_auroc,True,0.9857986755371094,0.9889210510253905,-0.003122375488281204,-0.003122375488281204,-1.5717586196073128,0.024570465485779045,0.0,0.0625
