model,perturbation,level,fault_type_accuracy,fault_type_balanced_accuracy,fault_type_macro_f1,line_accuracy,line_balanced_accuracy,line_macro_f1,position_accuracy,position_balanced_accuracy,position_macro_f1,security_accuracy,security_balanced_accuracy,security_macro_f1,line_top3,line_corridor_accuracy,position_mae_expected_pct,position_mae_class_pct,position_rmse_expected_pct,position_within_5pct,position_within_10pct,security_ordinal_mae,instability_auroc,instability_f1,instability_precision,instability_recall
cnn,gaussian_noise,0.0,0.9479166666666666,0.9479166666666667,0.9477124183006536,0.6614583333333334,0.6614583333333334,0.6498699546067966,0.84375,0.84375,0.8437404626747238,0.7669270833333334,0.7523577995907098,0.6808004783972414,1.0,0.7239583333333334,12.041123390197754,10.984374046325684,20.805801391601562,0.640625,0.640625,0.2640625,0.9854827880859376,0.815668202764977,0.9943820224719101,0.69140625
cnn,gaussian_noise,0.02,0.9489583333333333,0.9489583333333333,0.948938331963801,0.67109375,0.67109375,0.6613910228965519,0.8333333333333334,0.8333333333333334,0.8312773581280503,0.7666666666666667,0.7584449896219841,0.6828976124047201,1.0,0.7325520833333333,12.11007022857666,11.03125,20.97913360595703,0.6325520833333333,0.6416666666666667,0.2643229166666667,0.9845343017578125,0.8067921064708582,0.9777530589543938,0.68671875
cnn,gaussian_noise,0.05,0.940625,0.940625,0.9406222897452742,0.6447916666666667,0.6447916666666667,0.6369839529709604,0.7481770833333333,0.7481770833333333,0.7378185165654337,0.7583333333333333,0.7449793691473368,0.6727021737770356,0.99296875,0.7098958333333333,13.478885650634766,12.76486873626709,22.945470809936523,0.5989583333333334,0.6174479166666667,0.2833333333333333,0.981907958984375,0.8056312443233424,0.9620390455531453,0.69296875
cnn,gaussian_noise,0.1,0.8953125,0.8953125,0.8954118522716509,0.5578125,0.5578125,0.5507237706280383,0.6252604166666667,0.6252604166666667,0.5977913863220579,0.746875,0.7269022826718243,0.6595026846067968,0.953125,0.6171875,16.974567413330078,16.551692962646484,27.161476135253906,0.5330729166666667,0.5630208333333333,0.29973958333333334,0.9776800537109375,0.8108108108108109,0.9365404298874105,0.71484375
cnn,missing_pmus,0.0,0.9479166666666666,0.9479166666666667,0.9477124183006536,0.6614583333333334,0.6614583333333334,0.6498699546067966,0.84375,0.84375,0.8437404626747238,0.7669270833333334,0.7523577995907098,0.6808004783972414,1.0,0.7239583333333334,12.041123390197754,10.984374046325684,20.805801391601562,0.640625,0.640625,0.2640625,0.9854827880859376,0.815668202764977,0.9943820224719101,0.69140625
cnn,missing_pmus,0.2,0.4549479166666667,0.4549479166666667,0.4538969127874207,0.18229166666666666,0.18229166666666666,0.17329419961886716,0.4192708333333333,0.4192708333333333,0.38435758935345204,0.6244791666666667,0.4655771848852862,0.4678100321468496,0.40651041666666665,0.20989583333333334,24.955623626708984,25.261066436767578,34.757896423339844,0.378125,0.39401041666666664,0.6692708333333334,0.8931352233886718,0.7177700348432056,0.8110236220472441,0.64375
cnn,missing_pmus,0.4,0.46536458333333336,0.4653645833333334,0.4673377586986268,0.10859375,0.10859375,0.07135197120146047,0.3611979166666667,0.3611979166666666,0.3180599509941741,0.47734375,0.3514205465212389,0.3416063429713467,0.26901041666666664,0.12604166666666666,25.9110107421875,26.716222763061523,34.18474578857422,0.3143229166666667,0.3299479166666667,0.9177083333333333,0.8464044189453125,0.5590551181102362,0.7553191489361702,0.44375
cnn,missing_pmus,0.6,0.28463541666666664,0.2846354166666667,0.2837153577593596,0.09375,0.09375,0.04822735084919007,0.34713541666666664,0.34713541666666664,0.25579874694447446,0.42421875,0.302433237753727,0.29665991969435385,0.259375,0.11145833333333334,24.734638214111328,24.943775177001953,32.69757080078125,0.33098958333333334,0.34296875,1.06796875,0.7968896484375001,0.441834451901566,0.7775590551181102,0.30859375
lstm,gaussian_noise,0.0,0.9427083333333334,0.9427083333333334,0.942402094469292,0.6432291666666666,0.6432291666666666,0.6281455016457476,0.8333333333333334,0.8333333333333334,0.8331704138155751,0.79765625,0.7174074641630842,0.6890427118526448,1.0,0.7057291666666666,12.674689292907715,11.716666221618652,21.254459381103516,0.625,0.625,0.26458333333333334,0.98392333984375,0.88828125,0.88828125,0.88828125
lstm,gaussian_noise,0.02,0.9427083333333334,0.9427083333333334,0.942402094469292,0.6411458333333333,0.6411458333333333,0.6263809838833865,0.8338541666666667,0.8338541666666668,0.8337917401609259,0.7955729166666666,0.7143933715446902,0.6864469231832173,0.99921875,0.7036458333333333,12.739022254943848,11.6489839553833,21.32036018371582,0.6229166666666667,0.6234375,0.2677083333333333,0.9835888671875,0.8866380989481886,0.8842268842268842,0.8890625
lstm,gaussian_noise,0.05,0.9408854166666667,0.9408854166666667,0.9405082759631097,0.6197916666666666,0.6197916666666667,0.6059821484432265,0.8192708333333333,0.8192708333333334,0.818723192405182,0.79453125,0.7106888931562014,0.6848516241615399,0.9885416666666667,0.6817708333333333,13.249653816223145,12.307759284973145,21.934555053710938,0.6111979166666667,0.6125,0.2713541666666667,0.9798152160644532,0.8805275407292474,0.8744221879815101,0.88671875
lstm,gaussian_noise,0.1,0.9296875,0.9296875,0.9291630317538679,0.5747395833333333,0.5747395833333333,0.5618149554358753,0.7544270833333333,0.7544270833333333,0.7523517774448414,0.7911458333333333,0.70481650751151,0.6794058914155781,0.9513020833333333,0.63671875,14.896371841430664,14.670493125915527,24.0898494720459,0.5747395833333333,0.5815104166666667,0.27421875,0.9806195068359375,0.8843908135461269,0.8813033359193173,0.8875
lstm,missing_pmus,0.0,0.9427083333333334,0.9427083333333334,0.942402094469292,0.6432291666666666,0.6432291666666666,0.6281455016457476,0.8333333333333334,0.8333333333333334,0.8331704138155751,0.79765625,0.7174074641630842,0.6890427118526448,1.0,0.7057291666666666,12.674689292907715,11.716666221618652,21.254459381103516,0.625,0.625,0.26458333333333334,0.98392333984375,0.88828125,0.88828125,0.88828125
lstm,missing_pmus,0.2,0.5565104166666667,0.5565104166666668,0.5462047589683998,0.3424479166666667,0.34244791666666663,0.3275668383109318,0.5393229166666667,0.5393229166666667,0.5191148512829048,0.6783854166666666,0.572643500399249,0.5547437768830762,0.675,0.3848958333333333,21.71925926208496,21.825101852416992,30.25623893737793,0.39401041666666664,0.42083333333333334,0.5059895833333333,0.9416387939453125,0.8004807692307693,0.821546052631579,0.78046875
lstm,missing_pmus,0.4,0.38229166666666664,0.3822916666666667,0.37647034067280905,0.20703125,0.20703125,0.18105656012757498,0.39947916666666666,0.39947916666666666,0.36795695296798997,0.5625,0.45998627748981297,0.4363535147478402,0.4895833333333333,0.24453125,24.851680755615234,26.48981475830078,32.08833694458008,0.2955729166666667,0.32447916666666665,0.7877604166666666,0.8762881469726562,0.7060344827586207,0.7875,0.63984375
lstm,missing_pmus,0.6,0.26614583333333336,0.2661458333333333,0.26572626950252876,0.14010416666666667,0.14010416666666667,0.11181083218904063,0.34609375,0.3460937499999999,0.3218888926345002,0.4856770833333333,0.3876702266894744,0.3595470953196644,0.3575520833333333,0.17057291666666666,26.95052719116211,29.566532135009766,33.43104934692383,0.23489583333333333,0.2669270833333333,1.1151041666666666,0.7489279174804687,0.55188246097337,0.6692650334075724,0.46953125
stgat,gaussian_noise,0.0,0.9479166666666666,0.9479166666666666,0.9473453268977622,0.6822916666666666,0.6822916666666667,0.6662754754026305,0.8671875,0.8671875,0.8671854734111544,0.7651041666666667,0.7437132419797531,0.6692318397928755,1.0,0.7447916666666666,11.442607879638672,9.336718559265137,19.960142135620117,0.6640625,0.6666666666666666,0.25625,0.9908105468749999,0.8361990950226245,0.9935483870967742,0.721875
stgat,gaussian_noise,0.02,0.9481770833333333,0.9481770833333333,0.9476257069391826,0.6744791666666666,0.6744791666666667,0.6588170323567503,0.8557291666666667,0.8557291666666668,0.8557012829340667,0.7588541666666667,0.7326340449652141,0.6582443748463265,0.9994791666666667,0.7369791666666666,11.495630264282227,10.123098373413086,20.04334831237793,0.6635416666666667,0.6645833333333333,0.2625,0.9901635742187499,0.8304466727438469,0.9967177242888403,0.71171875
stgat,gaussian_noise,0.05,0.9385416666666667,0.9385416666666666,0.9381376575585301,0.6627604166666666,0.6627604166666667,0.6522716695146595,0.8408854166666667,0.8408854166666666,0.840018743278527,0.7455729166666667,0.71473491578298,0.6400035510933275,0.9963541666666667,0.7252604166666666,12.072405815124512,10.591874122619629,20.751239776611328,0.6427083333333333,0.65,0.28359375,0.9872265625000001,0.8136217211228716,0.9899216125419933,0.690625
stgat,gaussian_noise,0.1,0.8859375,0.8859375,0.8845474168610459,0.615625,0.615625,0.6058349685842699,0.74609375,0.74609375,0.7428541097024813,0.7296875,0.6864400311048948,0.6090764238616095,0.9713541666666666,0.6755208333333333,14.27340316772461,14.219478607177734,23.737895965576172,0.5895833333333333,0.6080729166666666,0.32135416666666666,0.9791094970703125,0.8018306636155607,0.9679558011049724,0.684375
stgat,missing_pmus,0.0,0.9479166666666666,0.9479166666666666,0.9473453268977622,0.6822916666666666,0.6822916666666667,0.6662754754026305,0.8671875,0.8671875,0.8671854734111544,0.7651041666666667,0.7437132419797531,0.6692318397928755,1.0,0.7447916666666666,11.442606925964355,9.336718559265137,19.960142135620117,0.6640625,0.6666666666666666,0.25625,0.990836181640625,0.8361990950226245,0.9935483870967742,0.721875
