model,fault_type_macro_f1_mean,fault_type_macro_f1_std,line_accuracy_mean,line_accuracy_std,line_top3_mean,line_top3_std,position_mae_expected_pct_mean,position_mae_expected_pct_std,security_macro_f1_mean,security_macro_f1_std,instability_auroc_mean,instability_auroc_std
cnn,0.947180577821338,0.0027668423554666768,0.6880208333333333,0.019781384390451007,1.0,0.0,12.243174171447754,0.4251180299401634,0.6791954766767392,0.031170529390456714,0.9871514892578125,0.001315844574475699
lstm,0.9481731539160437,0.0013015056863079485,0.65625,0.009743899444723826,1.0,0.0,12.050893211364746,0.3554064961967794,0.6842196092332646,0.01294844985661887,0.9865191650390625,0.0007477323553161249
stgat,0.9452590641168717,0.0030279973883025548,0.6671875,0.006484322707285819,1.0,0.0,12.373481941223144,0.26490634636579496,0.6792540228699122,0.0032475643190559757,0.9857986755371094,0.0008843543118177466
